,(P)Portentry,(Q)USdelivery,(R)UStime,(W)ITIvalues,(S)CSpresentation,(N)Portexit,(K)CStype,(B)shockintensity,date,subject,file_path,tone_playing_time_in_video,port_entry_time_in_video
115,246.46,,,0.0,,246.84,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,255.46
116,247.34,,,0.0,,247.58,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,256.34000000000003
117,247.76,,,0.0,,250.32,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,256.76
118,250.66,,,0.0,,255.97,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,259.65999999999997
119,255.99,,,0.0,,258.57,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,264.99
120,258.77,,,0.0,,260.7,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,267.77
121,260.87,,,0.0,,263.7,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,269.87
122,264.17,,,0.0,,266.4,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,273.17
123,267.24,,,0.0,,267.26,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,276.24
124,267.3,,,0.0,,267.32,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,276.3
125,268.25,,,0.0,,269.04,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,277.25
126,271.7,,,0.0,,274.73,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,280.7
127,274.82,,,0.0,,276.34,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,283.82
128,276.41,,,0.0,,277.68,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,285.41
129,279.66,,,0.0,,279.78,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,288.66
130,279.82,,,0.0,,279.97,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,288.82
131,279.99,,,0.0,,284.23,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,288.99
132,284.32,,,0.0,,284.37,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,293.32
133,284.42,,,0.0,,284.72,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,293.42
134,284.95,,,0.0,,286.36,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,293.95
135,286.72,,,0.0,,287.37,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,295.72
136,287.5,,,0.0,,287.58,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,296.5
137,287.74,,,0.0,,289.81,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,296.74
138,290.15,,,0.0,,290.65,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,299.15
139,291.45,,,0.0,,291.49,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,300.45
140,291.53,,,0.0,,294.64,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,300.53
141,295.35,,,0.0,,295.62,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,304.35
142,295.67,,,0.0,,296.69,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,304.67
143,297.9,,,0.0,,300.35,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,306.9
144,300.45,,,0.0,,300.52,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,309.45
145,300.59,,,0.0,,300.61,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,309.59
146,303.06,,,0.0,,304.3,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,312.06
147,304.4,,,0.0,,304.43,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,313.4
148,304.45,,,0.0,,306.58,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,313.45
149,306.65,,,0.0,,307.04,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,315.65
150,309.66,,,0.0,,314.81,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,318.66
151,314.86,,,0.0,,315.0,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,323.86
152,315.13,,,0.0,,315.16,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,324.13
153,315.18,,,0.0,,315.91,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,324.18
154,316.32,,,0.0,,316.34,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,325.32
155,316.36,,,0.0,,317.85,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,325.36
156,317.89,,,0.0,,318.42,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,326.89
157,318.46,,,0.0,,318.55,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,327.46
158,318.65,,,0.0,,318.69,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,327.65
159,319.05,,,0.0,,319.07,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,328.05
160,319.28,,,0.0,,320.86,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,328.28
161,320.99,,,0.0,,321.02,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,329.99
162,321.08,,,0.0,,333.17,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,330.08
163,333.19,,,0.0,,333.53,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,342.19
164,333.55,,,0.0,,334.55,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,342.55
165,334.62,,,0.0,,342.11,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,343.62
166,342.21,,,0.0,,342.34,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,351.21
167,342.45,,,0.0,,342.47,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,351.45
168,342.49,,,0.0,,342.51,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,351.49
169,342.77,,,0.0,,344.47,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,351.77
170,344.71,,,0.0,,349.74,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,353.71
171,350.3,,,0.0,,353.59,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,359.3
172,354.48,,,0.0,,354.61,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,363.48
173,354.68,,,0.0,,355.97,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,363.68
174,356.63,,,0.0,,358.41,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,365.63
175,358.5,,,0.0,,359.01,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,367.5
176,359.1,,,0.0,,362.95,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,368.1
177,364.58,,,0.0,,370.99,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,373.58
178,371.36,,,0.0,,372.63,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,380.36
179,373.97,,,0.0,,375.45,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,382.97
180,375.57,,,0.0,,375.69,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,384.57
181,377.54,,,0.0,,377.62,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,386.54
182,377.72,,,0.0,,379.11,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,386.72
183,380.25,,,0.0,,382.27,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,389.25
184,384.86,,,0.0,,388.97,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,393.86
185,389.01,,,0.0,,390.48,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,398.01
186,390.69,,,0.0,,391.21,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,399.69
187,391.34,,,0.0,,392.15,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,400.34
188,392.37,,,0.0,,392.39,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,401.37
189,392.42,,,0.0,,392.45,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,401.42
190,392.49,,,0.0,,392.6,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,401.49
191,392.64,,,0.0,,392.85,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,401.64
192,392.88,,,0.0,,392.9,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,401.88
193,393.01,,,0.0,,393.08,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,402.01
194,394.47,,,0.0,,395.34,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,403.47
195,395.54,,,0.0,,395.68,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,404.54
196,396.12,,,0.0,,396.5,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,405.12
197,396.57,,,0.0,,397.42,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,405.57
198,397.62,,,0.0,,399.44,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,406.62
199,399.55,,,0.0,,400.14,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,408.55
200,400.19,,,0.0,,403.49,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,409.19
201,403.6,,,0.0,,407.38,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,412.6
202,407.61,,,0.0,,408.86,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,416.61
203,410.28,,,0.0,,413.61,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,419.28
204,413.72,,,0.0,,417.26,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,422.72
205,417.39,,,0.0,,417.44,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,426.39
206,417.46,,,0.0,,418.91,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,426.46
207,419.46,,,0.0,,422.07,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,428.46
208,422.81,,,0.0,,424.23,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,431.81
209,427.58,,,0.0,,430.14,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,436.58
210,430.26,,,0.0,,430.56,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,439.26
211,431.33,,,0.0,,431.39,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,440.33
212,431.41,,,0.0,,431.44,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,440.41
213,431.48,,,0.0,,431.5,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,440.48
214,431.52,,,0.0,,431.72,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,440.52
215,431.77,,,0.0,,431.8,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,440.77
216,431.82,,,0.0,,434.31,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,440.82
217,434.82,,,0.0,,437.32,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,443.82
218,437.71,,,0.0,,442.81,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,446.71
219,442.94,,,0.0,,444.71,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,451.94
220,444.79,,,0.0,,445.09,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,453.79
221,445.74,,,0.0,,446.88,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,454.74
222,447.28,,,0.0,,449.48,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,456.28
223,451.3,,,0.0,,451.33,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,460.3
224,451.39,,,0.0,,453.12,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,460.39
